Town_Neighborhood,District,State,Latitude,Longitude,Number_of_Residents,Venue_ID,Venue_Name,Venue_Lat,Venue_Lon,Venue_Distance,Venue_Cat_ID,Venue_Category
KAMPONG UNGKU MOHSIN,JOHOR BAHRU,JOHOR,1.5083360023928871,103.7365068234822,2538,4e84a0a061af43c992e81f03,Kedai Makan Bawah Pokok,1.5144956795671267,103.73623340803238,686,4bf58dd8d48988d149941735,Thai Restaurant
RAWA PERLING,PULAI,JOHOR,1.4766828797206195,103.6724055534412,2507,4d61e9309f67f04dd0dc89fb,Chotiroj Thai Cuisine,1.4726748618141958,103.66896602481162,587,4bf58dd8d48988d149941735,Thai Restaurant
STULANG,JOHOR BAHRU,JOHOR,1.4660958078016766,103.7746377149588,3198,50d1db9c498edb2f1922d6e7,Sayam Bunga Mas,1.469523091318791,103.78082038397213,786,4bf58dd8d48988d149941735,Thai Restaurant
STULANG,JOHOR BAHRU,JOHOR,1.4660958078016766,103.7746377149588,3198,4d6fc3bd27316ea8b0d0b4aa,Restaurant Sayam,1.4701129341328762,103.78190485471652,924,4bf58dd8d48988d149941735,Thai Restaurant
DESA MAJIDI,JOHOR BAHRU,JOHOR,1.5083250740750267,103.76886711942508,1420,5225f4f611d292ad0dec4215,kaklong tomyam,1.5100220518368581,103.76125642529504,867,4bf58dd8d48988d149941735,Thai Restaurant
MAJEDEE BAHRU,JOHOR BAHRU,JOHOR,1.5093812653333647,103.76199664425931,1345,4f20e464e4b0c59297974925,Selera Ramai Tom Yam,1.5043855422556025,103.76046374226215,581,4bf58dd8d48988d149941735,Thai Restaurant
BANDAR MASAI TENGAH,PASIR GUDANG,JOHOR,1.4900846780000283,103.88356406900006,5341,4d51546f9d4937043190cb39,Samsi Cafe,1.4849132406485757,103.87624178408376,997,4bf58dd8d48988d149941735,Thai Restaurant
JOHOR JAYA TIMOR,PASIR GUDANG,JOHOR,1.5361541337333675,103.81055026980007,3461,5465da3d498e524c163c9461,Warung Pakya,1.5328332858518392,103.81260076203613,434,4bf58dd8d48988d149941735,Thai Restaurant
KAMPONG TELOK JAWA,PASIR GUDANG,JOHOR,1.479813292203646,103.85852609380099,657,50c5e7a8e4b047e9d5c020d5,Restoran walid,1.4869327531362233,103.85819489727233,793,4bf58dd8d48988d149941735,Thai Restaurant
PANDAN,PASIR GUDANG,JOHOR,1.520904992243265,103.78082978644146,3643,4e33968cc65bdb4c79ff8545,Siam House Authentic Thai Cuisine,1.522781907918724,103.78521552309375,530,4bf58dd8d48988d149941735,Thai Restaurant
BUKIT JAYA,TEBRAU,JOHOR,1.59682758443337,103.79747514638895,3177,54141395498e6b1091d45a4c,Restoran Najwa Family,1.597854186083539,103.79555213757023,242,4bf58dd8d48988d149941735,Thai Restaurant
BUKIT JAYA,TEBRAU,JOHOR,1.59682758443337,103.79747514638895,3177,4ed781cc93adde11f911ae33,D' Cempaka Corner,1.5998177289644595,103.79328987277924,572,4bf58dd8d48988d149941735,Thai Restaurant
MAJU JAYA,TEBRAU,JOHOR,1.6036574921649758,103.72533434776295,2037,54b256dc498e1d29e95976a8,Restaurant D'Tepian Sinar,1.6011438793031805,103.72006725142424,649,4bf58dd8d48988d149941735,Thai Restaurant
DESA JAYA,TEBRAU,JOHOR,1.558184585894757,103.8046281886316,2746,579c57adcd10cf6ab5011289,Black Canyon Aeon Tebrau,1.5521260000000001,103.79897,922,4bf58dd8d48988d149941735,Thai Restaurant
PERMAS 2,PASIR GUDANG,JOHOR,1.5112294350540778,103.82371746027029,2713,4c2c84278abca5933ac20120,Pha Pha Seafood,1.5047125324982922,103.82268958245429,734,4bf58dd8d48988d149941735,Thai Restaurant
PELANGI GAYA,TEBRAU,JOHOR,1.5741487940666954,103.79991755098341,2521,4cb1bad575ebb60c843fcfad,Restoran Zali Pattaya,1.5800938165788547,103.80019579158554,662,4bf58dd8d48988d149941735,Thai Restaurant
