Town_Neighborhood,District,State,Latitude,Longitude,Number_of_Residents,Venue_ID,Venue_Name,Venue_Lat,Venue_Lon,Venue_Distance,Venue_Cat_ID,Venue_Category,Clus_Db
BANDAR MASAI UTARA,PASIR GUDANG,JOHOR,1.4931000950952704,103.88252047609528,396,556f3096498e5cf798e12ede,Nasi Lemak Kucing,1.4873958479998226,103.88187174237056,639.0,4bf58dd8d48988d142941735,Asian Restaurant,2
BANDAR MASAI UTARA,PASIR GUDANG,JOHOR,1.4931000950952704,103.88252047609528,396,4c779e6e923ba1439e8067e6,Nasi Lemak Anggerik,1.4931402975914807,103.8735418936569,999.0,4bf58dd8d48988d142941735,Asian Restaurant,2
BANDAR MASAI UTARA,PASIR GUDANG,JOHOR,1.4931000950952704,103.88252047609528,396,4e3b0440d22d4aca8795e613,RSBP Tomyam & Seafood,1.494130781022805,103.87442258431598,908.0,4bf58dd8d48988d142941735,Asian Restaurant,2
BANDAR PLENTONG SELATAN,PASIR GUDANG,JOHOR,1.5257896217895084,103.8195043034211,4325,4d8c3de0ac798cfa656e27e4,Ah Wha Eating House 亚华粿條,1.5206388965063466,103.82339708492931,718.0,4bf58dd8d48988d142941735,Asian Restaurant,0
BANDAR PLENTONG SELATAN,PASIR GUDANG,JOHOR,1.5257896217895084,103.8195043034211,4325,52b8356e498edbe6f60db3ee,Restoran Mohamad Ali BFC,1.526057680834882,103.8244195721582,547.0,4bf58dd8d48988d142941735,Asian Restaurant,0
BANDAR PLENTONG SELATAN,PASIR GUDANG,JOHOR,1.5257896217895084,103.8195043034211,4325,4dda60e12271c5d36d8077cb,Thai seafood,1.5210025175757913,103.8231464470435,669.0,4bf58dd8d48988d142941735,Asian Restaurant,0
BANDAR PLENTONG SELATAN,PASIR GUDANG,JOHOR,1.5257896217895084,103.8195043034211,4325,4d83529c81fdb1f77617e4bf,"Plentong, Curry Mee + Fried Taufu Stall",1.521657,103.82441,713.0,4bf58dd8d48988d145941735,Chinese Restaurant,0
BANDAR PLENTONG UTARA,PASIR GUDANG,JOHOR,1.5286963303333652,103.81812122223342,572,52b8356e498edbe6f60db3ee,Restoran Mohamad Ali BFC,1.526057680834882,103.8244195721582,759.0,4bf58dd8d48988d142941735,Asian Restaurant,0
BANDAR SENAI SELATAN,KULAI,JOHOR,1.6019049995333663,103.64102016666672,2031,51443baee4b0da66d5e5da22,Restoran H&P,1.5959546023698818,103.64565374084542,839.0,4bf58dd8d48988d142941735,Asian Restaurant,-1
BANDAR SENAI SELATAN,KULAI,JOHOR,1.6019049995333663,103.64102016666672,2031,52aa697511d29d2509f2d41d,Restoran Min Kee 明记茶室,1.6013389999999998,103.643745,309.0,4bf58dd8d48988d145941735,Chinese Restaurant,-1
BANDAR SENAI SELATAN,KULAI,JOHOR,1.6019049995333663,103.64102016666672,2031,4ebdd582b803bca7dd5d29bc,Restoran Monyet 猴子面茶餐室,1.6044822,103.63942,337.0,4bf58dd8d48988d145941735,Chinese Restaurant,-1
BANDAR SENAI TENGAH,KULAI,JOHOR,1.6022656672273017,103.64357473322731,1621,51443baee4b0da66d5e5da22,Restoran H&P,1.5959546023698818,103.64565374084542,739.0,4bf58dd8d48988d142941735,Asian Restaurant,-1
BANDAR SENAI TENGAH,KULAI,JOHOR,1.6022656672273017,103.64357473322731,1621,4e37d51bd4c0dc7ad2e94ede,Kim M Long Restaurant 金龍飯店,1.5943062599982134,103.64645773490393,942.0,4bf58dd8d48988d145941735,Chinese Restaurant,-1
BANDAR SENAI TENGAH,KULAI,JOHOR,1.6022656672273017,103.64357473322731,1621,52aa697511d29d2509f2d41d,Restoran Min Kee 明记茶室,1.6013389999999998,103.643745,104.0,4bf58dd8d48988d145941735,Chinese Restaurant,-1
BANDAR SENAI TENGAH,KULAI,JOHOR,1.6022656672273017,103.64357473322731,1621,4ebdd582b803bca7dd5d29bc,Restoran Monyet 猴子面茶餐室,1.6044822,103.63942,524.0,4bf58dd8d48988d145941735,Chinese Restaurant,-1
BANDAR SENAI TENGAH,KULAI,JOHOR,1.6022656672273017,103.64357473322731,1621,520c63db11d26438a3206e81,士乃鸭王,1.6103821792219035,103.64722395271481,990.0,4bf58dd8d48988d145941735,Chinese Restaurant,-1
